timestamp,minute,it_load_kw,t_cold_mean,t_hot_mean,t_outlet_mean,t_outlet_peak,rack_outlet,crah_cooling_capacity_kw
2025-06-15 00:00:00+00:00,0,2156.1099999999997,9.0,15.922609870076911,15.697657803180913,18.77882703777336,"[14.60387674 14.74055666 14.96421471 15.88369781 15.27485089 14.15656064
 16.02659046 15.62897614 15.84020875 16.31237575 16.58573559 17.61704771
 17.30641153 14.63494036 14.00745527 13.90805169 15.25       16.4055666
 15.3804672  15.41153082 16.1694831  14.47962227 15.70352883 16.6167992
 17.13866799 16.26267396 17.00198807 14.71570577 15.37425447 13.77137177
 15.49850895 13.72166998 12.85810139 14.89587475 14.77162028 16.60437376
 16.56709742 14.97664016 17.06411531 15.50472167 16.52360835 14.16277336
 14.70328032 15.52335984 15.52335984 15.41153082 15.85884692 15.85884692
 14.99527833 15.06983101 15.46744533 16.52982107 15.99552684 18.56759443
 15.79050696 15.6973161  15.26863817 16.0390159  15.34940358 15.82157058
 16.5360338  15.28106362 14.20626243 15.20029821 16.7472664  14.6722167
 16.21297217 16.57952286 16.21297217 17.3499006  15.04498012 16.83424453
 15.41153082 14.42992048 14.63494036 14.54796223 16.37450298 15.1195328
 15.74701789 16.67271372 15.4612326  16.02659046 14.74676938 15.6165507
 13.93290258 15.00770378 15.89612326 14.93315109 15.3556163  15.43016899
 16.44905567 16.43663022 16.02037773 14.98285288 16.93364811 16.61058648
 17.5611332  16.55467197 18.56138171 14.24353877 16.22539761 15.00770378
 14.58523857 14.17519881 15.25       16.8777336  16.48011928 16.52360835
 13.82728628 16.87152087 16.89015905 16.02037773 16.11356859 14.52932406
 16.2999503  13.87077535 14.62251491 16.44905567 14.92693837 15.16923459
 15.75944334 14.67842942 16.20054672 15.03255467 17.15109344 16.48633201
 18.77882704 14.74676938 15.92097416 13.59741551 14.85859841 15.43638171
 16.92743539 13.89562624 16.54845924 16.33722664 17.38096421 16.77833002
 16.32480119 15.95203777 15.44259443 14.61630219 14.41749503 16.64786282
 14.35536779 15.38667992 13.79000994 15.04498012 15.82157058 16.5111829
 17.25049702 16.02659046 15.18787276 16.82181909 17.03926441 17.17594433
 13.90183897 15.77186879 14.95800199 15.69110338 16.39314115 15.9333996
 15.79671968 17.69781312 16.08250497 15.74701789 16.28752485 17.72887674
 16.62301193 17.15730616 15.62276342 14.19383698 13.22465209 15.27485089
 15.37425447 14.75298211 16.29373757 16.21297217 14.8834493  16.45526839
 15.95203777 14.92072565 16.88394632 16.58573559 13.76515905 15.10710736
 15.23757455 14.41128231 15.4860835  16.21918489 14.77162028 15.9582505
 15.76565606 18.03951292 14.35536779 16.90258449 16.13220676 16.48633201
 18.51167992 14.5666004 ]",23160.283581329313
2025-06-15 00:01:00+00:00,1,2135.2200000000003,9.0,15.859808093485203,15.632765904572564,19.6610337972167,"[16.82803181 14.49204771 15.39289264 14.77162028 14.74676938 15.61033797
 15.45501988 16.07007952 14.08200795 18.07057654 16.21297217 18.15755467
 15.75944334 14.8026839  17.64189861 14.04473161 13.6222664  14.6722167
 15.78429423 16.15705765 16.87152087 15.5916998  14.50447316 15.75323062
 17.48036779 16.92122266 14.82753479 14.44855865 15.94582505 16.79075547
 15.49850895 15.42395626 14.14413519 14.67842942 15.66625249 16.25646123
 16.49254473 15.66625249 15.20029821 15.71595427 15.52335984 15.0387674
 12.44184891 14.45477137 15.34319085 16.50497018 15.31833996 16.34965209
 15.20651093 15.04498012 15.27485089 17.49279324 17.15730616 16.84666998
 19.6610338  16.69135189 15.13195825 15.00149105 14.6722167  17.20079523
 16.61058648 14.06336978 15.15680915 16.09493042 16.58573559 14.76540755
 14.08200795 14.57281312 16.44284294 16.57952286 14.82753479 13.95154076
 13.69060636 13.11282306 15.46744533 15.66625249 16.41177932 16.38692843
 15.63518887 17.23185885 16.00795229 15.68489066 15.97688867 16.08250497
 12.44184891 14.76540755 15.02012922 14.61008946 14.44855865 15.62276342
 17.03926441 15.63518887 15.29348907 15.37425447 16.02659046 15.07604374
 16.2999503  16.63543738 18.46197813 15.45501988 15.70352883 14.23732604
 15.69110338 14.16898608 15.68489066 15.94582505 15.00149105 17.74130219
 16.57331014 14.4361332  16.88394632 16.15084493 16.69756461 14.96421471
 15.05740557 12.95750497 13.93911531 15.90233598 16.55467197 17.28156064
 17.3499006  13.92047714 16.71620278 14.37400596 17.82828032 16.72241551
 15.58548708 16.35586481 15.24378728 13.0444831  15.24378728 14.45477137
 15.39910537 15.02634195 16.90258449 14.4609841  16.24403579 17.80342942
 15.50472167 16.63543738 16.79075547 13.79622266 15.20029821 14.85238569
 14.04473161 16.72862823 15.98931412 15.25621272 14.98285288 15.00770378
 17.05168986 15.9333996  16.66028827 16.21918489 17.13245527 16.61058648
 15.26242545 14.54796223 15.65382704 15.66625249 15.09468191 14.5666004
 14.65357853 15.00149105 14.93936382 16.82803181 16.13841948 17.80964215
 18.63593439 16.69756461 13.06312127 14.31187873 14.75919483 13.60984095
 14.92693837 15.5916998  15.05740557 14.93315109 15.10089463 17.64189861
 15.98931412 15.52957256 16.11356859 17.51764414 13.82107356 15.06983101
 15.4612326  15.64761431 16.41799205 14.75919483 16.49254473 14.86481113
 15.39289264 17.03926441 16.85909543 16.25646123 15.30591451 17.10139165
 16.15705765 13.71545726]",22950.173957564093
2025-06-15 00:02:00+00:00,2,2110.09,9.0,15.78449896178587,15.554703031809145,19.00248508946322,"[14.13792247 15.13195825 13.08797217 15.56684891 15.55442346 15.00770378
 16.68513917 16.44905567 15.47987078 15.57927435 17.02062624 15.1195328
 16.38692843 13.93911531 14.75919483 15.05119284 15.05119284 16.23782306
 15.55442346 15.21272366 14.5417495  16.50497018 16.48633201 17.51143141
 15.62897614 16.5111829  16.59194831 14.39885686 14.65357853 13.21222664
 15.74080517 15.74080517 16.34965209 17.55492048 15.32455268 15.75323062
 15.9582505  17.92147117 14.66600398 16.89015905 15.23136183 12.10636183
 12.71520875 13.47316103 15.92097416 14.28081511 15.0387674  14.3305169
 16.14463221 14.71570577 17.13245527 15.1443837  15.51714712 16.50497018
 16.57952286 18.04572565 14.66600398 13.59120278 14.35536779 14.51068588
 15.88369781 15.72837972 15.41774354 16.50497018 15.36182903 15.89612326
 16.34965209 17.77236581 16.41799205 16.34343936 13.52907555 15.30591451
 14.28702783 15.31833996 13.3861829  16.29373757 14.24353877 14.92072565
 16.79696819 14.72813121 16.0638668  16.36829026 15.52957256 17.87798211
 15.85884692 12.78354871 13.43588469 15.70352883 13.89562624 14.91451292
 15.56063618 16.24403579 15.55442346 16.01416501 15.36804175 17.4555169
 15.95203777 16.89637177 16.26888668 14.6722167  14.58523857 14.75298211
 14.11928429 15.97067594 16.70999006 15.77808151 16.39935388 16.66028827
 16.90879722 16.49254473 16.56709742 17.33747515 16.75969185 13.6222664
 14.71570577 13.09418489 15.0139165  15.56684891 16.49875746 15.64761431
 16.5360338  15.83399602 15.04498012 14.84617296 15.41774354 15.21272366
 17.23807157 14.28702783 15.17544732 14.87723658 15.94582505 16.12599404
 14.69706759 15.20651093 15.12574553 14.27460239 16.57952286 17.2194334
 16.26888668 15.98310139 17.61704771 12.24925447 14.76540755 14.89587475
 14.39264414 16.38692843 16.15705765 15.16923459 15.49850895 15.3804672
 15.42395626 14.84617296 17.51764414 17.3499006  17.30019881 15.6973161
 16.49254473 16.56088469 15.05119284 14.2000497  14.39885686 15.75944334
 14.67842942 15.66003976 16.87152087 14.61630219 18.05193837 17.80964215
 15.3556163  15.3556163  14.24353877 13.70924453 14.58523857 12.59095427
 14.94557654 17.00198807 14.44234592 15.39289264 14.42370775 16.56709742
 15.92718688 18.10785288 16.65407555 16.28131213 14.97042744 14.15034791
 13.53528827 15.23136183 14.95178926 15.43016899 15.79050696 15.12574553
 16.15705765 17.54870775 15.05740557 17.87176938 16.18812127 15.86505964
 19.00248509 14.72191849]",22698.219726550804
2025-06-15 00:03:00+00:00,3,2090.2400000000002,9.0,15.724776433243587,15.493041749502982,19.82256461232604,"[16.01416501 15.66625249 13.49801193 15.34319085 14.90208748 14.305666
 14.06336978 15.97688867 16.59194831 16.57331014 16.08250497 15.79050696
 15.77808151 14.01366799 13.7278827  14.66600398 14.99527833 14.34915507
 15.12574553 14.79647117 15.66625249 16.30616302 16.16327038 16.59816103
 14.78404573 16.13220676 16.90879722 15.08225646 13.15631213 14.95800199
 16.09493042 14.97042744 15.21272366 15.88369781 15.85263419 16.41799205
 16.02037773 16.25646123 15.54821074 16.28131213 17.77236581 14.24353877
 14.44234592 14.305666   15.66003976 14.29324056 16.10114314 14.5417495
 14.59145129 15.9333996  16.02659046 16.34343936 17.2194334  16.00795229
 16.97092445 15.87127237 15.72837972 15.30591451 15.3804672  15.21893638
 14.47340954 15.06361829 16.00173956 15.67867793 15.97067594 14.75298211
 16.34965209 15.70352883 15.49850895 16.52982107 12.77733598 15.31833996
 15.62897614 14.94557654 14.23111332 14.44234592 15.34319085 13.3861829
 15.97688867 16.59194831 15.84642147 15.84020875 16.63543738 16.95228628
 15.47987078 14.64115308 14.14413519 14.51689861 15.28106362 16.72241551
 15.13817097 14.62251491 14.95178926 13.97639165 16.39935388 14.98285288
 15.26863817 14.74055666 15.70352883 15.10710736 13.5166501  13.27435388
 15.23136183 14.9083002  15.79671968 16.24403579 15.70974155 14.6722167
 15.92718688 16.67271372 15.8277833  15.19408549 17.72266402 14.14413519
 14.31187873 14.87102386 15.97688867 15.43016899 15.03255467 16.14463221
 17.67296223 17.12624254 16.62301193 15.11332008 19.82256461 15.36804175
 16.2999503  13.83349901 16.16327038 15.20029821 13.64090457 15.38667992
 15.80914513 15.16302187 14.48583499 15.11332008 15.54199801 16.13220676
 15.79050696 17.12624254 15.71595427 12.82082505 13.90805169 16.02037773
 14.39264414 17.26913519 15.70974155 14.3305169  14.8026839  15.97067594
 14.80889662 18.28180915 15.30591451 17.02683897 17.91525845 16.6167992
 13.6222664  14.4609841  15.21893638 15.85884692 15.25621272 14.06336978
 15.57306163 15.06361829 13.82107356 15.36804175 14.84617296 16.89637177
 18.31908549 18.40606362 13.97017893 14.23111332 15.47365805 15.98310139
 14.76540755 15.18787276 17.54249503 15.54821074 15.3556163  16.08250497
 16.67892644 15.34940358 16.23161034 15.54199801 14.2000497  16.37450298
 15.47987078 14.86481113 14.24353877 14.98285288 16.41799205 15.07604374
 17.1138171  14.64736581 15.82157058 17.87798211 14.54796223 17.68538767
 15.02012922 14.49204771]",22498.412035059744
2025-06-15 00:04:00+00:00,4,2087.39,9.0,15.715226762248749,15.484188618290256,19.387673956262425,"[14.57902584 15.67246521 12.125      13.44209742 14.86481113 15.5916998
 14.8834493  15.67246521 14.93936382 15.83399602 15.57927435 16.75969185
 17.23807157 15.86505964 14.08200795 14.56038767 15.06361829 14.9083002
 15.29348907 14.05094433 16.02037773 14.98285288 15.10710736 14.67842942
 17.40581511 16.35586481 17.72266402 14.73434394 13.05690855 13.79622266
 15.67867793 14.42370775 14.28081511 15.29348907 15.4612326  14.84617296
 15.64761431 15.66625249 13.86456262 16.90879722 15.84642147 15.65382704
 13.52907555 13.29299205 16.03280318 13.60984095 14.65979125 15.97067594
 15.26863817 14.2000497  16.07629225 15.88369781 17.42445328 16.93986083
 19.38767396 15.18787276 14.52932406 13.72166998 15.95203777 15.80914513
 15.90854871 14.64115308 14.83374751 13.80243539 17.44930417 16.49254473
 15.93961233 17.2194334  17.20700795 17.57977137 12.99478131 14.00124254
 15.0139165  15.32455268 16.05144135 14.38021869 15.60412525 17.70402584
 16.45526839 16.78454274 16.11978131 17.01441352 18.14512922 16.72241551
 15.59791252 13.80864811 15.33697813 15.79050696 14.41128231 16.2999503
 14.80889662 14.85238569 15.76565606 17.72887674 16.38071571 17.12624254
 15.73459245 16.65407555 15.64761431 14.04473161 15.51714712 14.86481113
 16.41799205 15.0387674  15.20651093 16.7472664  15.11332008 14.46719682
 17.25670974 16.59194831 14.34915507 16.57331014 16.31858847 16.15705765
 14.01366799 14.31187873 14.16898608 14.2000497  14.69085487 14.16898608
 14.70949304 14.33672962 14.60387674 14.70949304 15.84020875 15.84642147
 15.50472167 14.92693837 14.60387674 14.40506958 14.5417495  16.6167992
 15.52335984 15.90233598 13.21222664 15.17544732 13.92668986 15.71595427
 16.62301193 15.80914513 17.0889662  13.48558648 15.13817097 13.31163022
 14.67842942 15.47987078 15.75323062 15.29348907 17.38717694 15.3556163
 15.4860835  13.49801193 17.87798211 16.05144135 15.4612326  17.95253479
 15.70352883 14.81510934 13.54150099 15.43016899 14.62872763 14.27460239
 16.50497018 13.70924453 16.38692843 16.44905567 18.09542744 16.64786282
 14.59145129 15.89612326 14.5666004  15.00149105 15.74701789 13.16873757
 14.85238569 16.22539761 16.92122266 17.38096421 15.44880716 16.99577535
 17.73508946 17.41824056 17.13866799 17.39960239 13.72166998 13.27435388
 15.70352883 14.62251491 15.08846918 14.73434394 15.06983101 15.81535785
 14.80889662 15.98931412 16.31858847 16.18190855 15.722167   17.31262425
 18.48682903 14.01366799]",22466.462655779414
2025-06-15 00:05:00+00:00,5,2099.65,9.0,15.750272497826,15.522272614314113,19.356610337972164,"[15.88991054 15.72837972 12.59095427 14.51689861 14.79647117 16.28131213
 15.89612326 16.32480119 16.63543738 15.36804175 15.67246521 15.39289264
 16.5360338  14.41749503 14.85238569 14.17519881 15.86505964 16.0390159
 16.78454274 16.1694831  15.84642147 16.46148111 16.56709742 15.55442346
 17.52385686 18.08921471 18.49304175 14.51689861 14.94557654 15.19408549
 14.97042744 15.70974155 15.18787276 15.28106362 17.26292247 15.93961233
 16.01416501 16.93364811 16.41799205 16.70999006 16.54224652 13.29920477
 14.57281312 13.70303181 15.1195328  13.9888171  16.10735586 16.11356859
 15.84020875 15.64761431 16.29373757 14.23732604 15.20651093 16.25646123
 16.8777336  16.64786282 13.61605368 14.83996024 14.45477137 14.04473161
 15.51093439 15.17544732 16.64786282 16.31237575 16.54224652 16.31858847
 15.39289264 15.47365805 15.13817097 19.35661034 13.49801193 14.47340954
 14.49826044 14.73434394 14.61630219 13.57877734 14.55417495 14.34915507
 15.69110338 15.33697813 15.49850895 16.49875746 15.92097416 17.49279324
 14.10064612 14.83374751 13.54771372 15.56063618 14.73434394 15.65382704
 15.74701789 15.43638171 15.96446322 15.56684891 17.34368787 17.12624254
 16.86530815 15.47987078 15.71595427 13.95775348 14.51068588 15.31833996
 14.23111332 16.32480119 15.39289264 13.67818091 15.27485089 13.47316103
 15.34319085 15.6973161  15.80293241 16.23161034 16.33101392 13.97639165
 16.09493042 15.98931412 13.95154076 16.34965209 13.83349901 14.74676938
 17.09517893 13.74652087 16.52982107 14.98906561 16.18812127 16.31858847
 18.23210736 13.7278827  14.57902584 15.39289264 14.73434394 14.36779324
 15.24378728 15.54821074 16.44905567 14.9083002  15.52957256 16.41177932
 16.11978131 16.26888668 16.58573559 13.79000994 13.85213718 15.17544732
 13.90183897 16.17569583 15.45501988 14.2249006  15.84020875 15.89612326
 16.6167992  17.14488072 15.88991054 15.73459245 15.98931412 15.80293241
 13.8583499  14.98285288 14.89587475 14.58523857 14.51689861 15.69110338
 15.06361829 14.72191849 15.71595427 15.77186879 15.18787276 17.12002982
 17.30019881 16.70999006 14.62872763 15.16302187 14.8026839  15.8277833
 16.70377734 15.39910537 15.89612326 16.46148111 15.49850895 14.92072565
 16.9833499  14.83996024 18.13270378 17.43687873 14.63494036 14.6722167
 16.41799205 14.0695825  14.03230616 14.71570577 15.19408549 14.66600398
 15.90854871 16.05144135 15.33076541 17.74751491 15.1195328  15.38667992
 17.09517893 14.38021869]",22583.711668726668
2025-06-15 00:06:00+00:00,6,2133.8599999999997,9.0,15.850098800731224,15.628541252485087,18.642147117296222,"[15.12574553 14.32430417 14.10064612 14.62872763 14.75298211 16.04522863
 15.26863817 16.59194831 16.59194831 17.17594433 17.20700795 17.26292247
 17.41202783 14.04473161 14.44855865 13.1500994  15.29348907 14.55417495
 15.71595427 16.00173956 14.41128231 14.88966203 15.67246521 15.67867793
 16.48011928 15.41153082 16.69135189 12.90780318 12.63444334 15.47365805
 13.7527336  14.61630219 13.97639165 14.15034791 15.25       15.40531809
 16.86530815 16.52982107 16.03280318 17.14488072 17.64189861 14.82132207
 14.21868787 15.70974155 16.57331014 15.70352883 16.90258449 16.2750994
 16.36829026 14.72191849 14.86481113 16.02037773 14.6722167  15.84020875
 17.36232604 16.10114314 15.05119284 13.45452286 14.41749503 15.99552684
 15.39910537 15.64140159 17.12002982 16.90258449 15.0387674  17.25049702
 15.61033797 16.33101392 16.52360835 17.67296223 13.45452286 15.08846918
 15.31833996 15.75323062 14.96421471 16.25646123 14.82132207 16.71620278
 16.13841948 14.66600398 16.51739563 16.46769384 16.13220676 15.93961233
 14.23732604 13.2805666  16.36207753 13.89562624 14.49826044 16.34343936
 15.98310139 16.2750994  17.17594433 15.63518887 15.11332008 17.03926441
 17.15730616 16.2750994  15.56063618 15.72837972 15.27485089 13.6222664
 15.79050696 13.8832008  14.93936382 14.51068588 15.12574553 15.10710736
 15.47365805 16.88394632 16.6416501  17.12002982 17.71645129 14.18141153
 14.76540755 15.3556163  16.61058648 16.02037773 16.62922465 16.45526839
 16.65407555 14.16898608 16.81560636 16.35586481 16.37450298 15.99552684
 16.25024851 14.87102386 15.43016899 13.4110338  15.17544732 14.61008946
 14.41128231 15.8277833  15.31833996 15.17544732 15.23136183 16.37450298
 16.26888668 15.42395626 15.82157058 14.26838966 14.97664016 13.78379722
 15.3804672  14.31809145 17.79100398 14.53553678 14.83996024 15.92097416
 15.06361829 16.84045726 17.90904573 16.03280318 16.71620278 16.23782306
 14.55417495 16.05144135 15.70974155 14.2000497  16.64786282 16.44905567
 15.98310139 15.08225646 15.92097416 15.28106362 16.6167992  16.05144135
 14.42992048 17.53628231 14.68464215 15.67246521 14.70328032 15.16923459
 16.20054672 15.68489066 15.75323062 18.64214712 15.65382704 16.13220676
 17.75372763 15.54821074 15.49229622 15.29348907 14.95800199 15.20651093
 15.47365805 13.68439364 16.05144135 16.39314115 15.34940358 15.62897614
 16.39314115 16.26888668 16.69135189 15.24378728 16.25646123 15.44880716
 17.33126243 15.06983101]",22917.690547726386
2025-06-15 00:07:00+00:00,7,2112.8500000000004,9.0,15.786973647228493,15.563276590457257,18.337723658051686,"[14.64736581 15.18166004 13.61605368 16.02659046 14.95800199 15.67246521
 16.75969185 15.17544732 17.15730616 16.32480119 16.39314115 17.05168986
 15.53578529 15.08225646 14.74676938 15.82157058 14.81510934 14.84617296
 15.69110338 15.45501988 14.57902584 15.65382704 17.17594433 16.07629225
 15.51093439 17.15109344 14.92072565 12.50397614 14.64115308 14.97664016
 15.17544732 14.305666   15.15680915 14.15656064 15.8277833  14.28081511
 15.80914513 16.35586481 14.64115308 15.95203777 17.33747515 15.87748509
 13.19980119 15.07604374 13.77137177 13.83349901 16.74105368 16.0390159
 14.82753479 15.94582505 16.50497018 16.23782306 18.32529821 16.95849901
 13.76515905 16.44905567 13.86456262 14.52311133 14.88966203 14.4361332
 14.19383698 16.6416501  16.08871769 15.06983101 16.49254473 16.64786282
 17.36232604 15.36182903 17.23807157 16.10735586 15.58548708 14.49204771
 12.71520875 15.02634195 13.49801193 15.1195328  15.43016899 15.27485089
 14.42370775 14.93315109 15.34940358 16.07007952 17.6667495  17.28777336
 14.01988072 15.80914513 13.51043738 15.58548708 14.94557654 15.49229622
 16.03280318 14.97042744 16.5111829  15.92097416 18.33772366 15.97067594
 17.59840954 17.18215706 15.64761431 15.84642147 13.7527336  12.82082505
 15.85884692 16.22539761 15.44259443 15.31212724 17.1945825  16.54224652
 15.43016899 16.89015905 15.21272366 16.01416501 15.71595427 12.47912525
 13.59741551 15.99552684 13.99502982 14.66600398 14.26217694 16.31237575
 15.67246521 16.29373757 15.89612326 15.06983101 15.41774354 17.26913519
 16.59816103 15.20651093 12.10636183 15.84642147 14.51068588 17.15730616
 14.82132207 15.4860835  16.23782306 14.97042744 16.76590457 15.51093439
 17.48036779 17.17594433 17.06411531 13.75894632 14.40506958 15.0387674
 13.03205765 14.57281312 16.12599404 14.23111332 16.7721173  15.15680915
 16.20675944 14.99527833 16.67892644 16.82181909 17.61704771 17.98359841
 15.722167   14.9083002  13.73409543 16.2750994  13.9888171  14.95800199
 16.21918489 16.10735586 17.34368787 16.01416501 14.61008946 16.08871769
 16.67271372 16.34343936 15.82157058 14.4361332  13.4917992  15.43016899
 14.08822068 16.90258449 15.73459245 14.34294235 16.81560636 18.18240557
 14.26838966 17.13866799 16.91500994 16.79075547 14.777833   15.08225646
 14.13792247 16.26267396 13.85213718 17.10139165 16.85909543 14.49826044
 15.75944334 17.25049702 15.63518887 16.10114314 16.0390159  17.6667495
 16.17569583 14.5666004 ]",22706.499034167646
2025-06-15 00:08:00+00:00,8,2096.59,9.0,15.737871151654241,15.512767147117296,19.381461232604373,"[15.24378728 14.70949304 14.25596421 13.97639165 13.97639165 14.45477137
 14.11307157 15.20029821 16.32480119 16.25646123 15.59791252 15.58548708
 15.77186879 13.23707753 13.54150099 15.52335984 13.70924453 15.20029821
 14.77162028 17.77236581 13.99502982 16.01416501 15.68489066 15.44259443
 16.6167992  16.62922465 15.65382704 14.87723658 15.00770378 16.02659046
 14.40506958 16.50497018 15.11332008 13.6222664  16.11356859 15.70974155
 15.12574553 16.9833499  15.84020875 17.38717694 16.52360835 15.13817097
 15.23136183 15.20029821 13.9639662  15.94582505 15.27485089 17.28156064
 16.02659046 16.44284294 15.19408549 15.69110338 16.31858847 15.29970179
 15.46744533 16.6167992  14.47962227 14.90208748 15.92097416 14.66600398
 15.84020875 15.23136183 15.34940358 15.9333996  13.93290258 16.08250497
 15.5916998  15.47987078 14.75298211 16.26267396 12.75869781 15.47987078
 14.61008946 13.42967197 14.52932406 16.02659046 14.93315109 15.38667992
 15.46744533 15.85263419 14.55417495 16.25646123 15.94582505 19.38146123
 14.26217694 14.2000497  15.70974155 14.8026839  15.34940358 14.4609841
 16.89015905 15.0139165  16.11356859 16.9833499  15.80914513 16.25024851
 16.96471173 17.21322068 15.72837972 14.74676938 13.8583499  14.20626243
 14.4609841  16.36207753 16.8777336  17.98359841 15.66625249 15.09468191
 15.13817097 17.70402584 14.93315109 16.23782306 16.1694831  16.15705765
 13.74652087 15.88369781 16.24403579 15.02634195 15.77808151 14.07579523
 15.5916998  15.63518887 13.59120278 16.54845924 16.65407555 14.9083002
 15.33076541 13.78379722 14.15034791 14.52311133 14.08200795 14.19383698
 15.58548708 15.02012922 15.52335984 15.57306163 16.37450298 15.97067594
 17.07654076 16.5360338  17.430666   15.59791252 13.23707753 15.62276342
 16.58573559 14.18141153 15.21893638 15.08225646 15.98931412 16.22539761
 15.28106362 17.28777336 15.43016899 16.26267396 17.51143141 18.54274354
 14.07579523 15.44259443 15.08225646 13.56635189 14.31187873 14.24353877
 15.06361829 15.30591451 15.88369781 17.21322068 16.57952286 18.81610338
 16.28131213 17.40581511 14.88966203 16.07007952 14.47962227 15.78429423
 16.67892644 14.64736581 15.41774354 16.11978131 15.40531809 15.15680915
 17.84691849 16.08871769 18.07678926 16.15084493 14.26838966 15.36804175
 14.59145129 14.11307157 14.44234592 15.52957256 14.81510934 15.68489066
 13.65954274 15.40531809 15.92097416 15.77808151 15.49229622 15.75323062
 16.80939364 15.96446322]",22542.22172497443
2025-06-15 00:09:00+00:00,9,2136.0600000000004,9.0,15.853235545045115,15.635375248508947,18.375,"[13.43588469 14.64736581 15.97688867 15.54199801 15.30591451 15.13195825
 15.72837972 15.78429423 14.00745527 15.54199801 14.55417495 17.73508946
 17.46172962 13.79622266 15.44259443 17.13866799 14.4361332  16.39314115
 15.68489066 15.28727634 14.64115308 15.31833996 15.62897614 14.00124254
 16.81560636 16.18812127 17.07654076 14.0944334  17.43687873 13.26192843
 14.10064612 15.79050696 17.49900596 14.53553678 17.33126243 14.93315109
 17.15730616 16.18190855 18.35636183 18.10164016 16.00173956 17.16973161
 13.55392644 14.46719682 16.61058648 14.40506958 14.65357853 15.53578529
 16.00173956 16.10114314 15.20651093 16.25024851 16.82181909 17.7972167
 16.85909543 15.55442346 14.57902584 14.13792247 16.10735586 13.47937376
 15.72837972 14.37400596 16.71620278 16.41177932 16.0638668  16.49254473
 15.87127237 16.97713718 16.46148111 17.35611332 14.56038767 12.35487078
 14.35536779 16.41177932 16.5111829  15.41774354 15.36804175 15.33697813
 16.39935388 16.5111829  15.22514911 16.91500994 17.61083499 15.73459245
 14.28702783 15.05740557 15.4612326  14.55417495 14.61630219 14.83996024
 15.79671968 16.00173956 15.74701789 14.65357853 15.07604374 16.84666998
 15.28106362 16.79075547 16.4055666  14.01366799 14.76540755 16.46148111
 15.33697813 14.95178926 14.01988072 16.03280318 16.77833002 16.44905567
 17.13245527 16.64786282 15.15680915 16.49254473 17.18215706 15.20029821
 14.23111332 14.79647117 15.36182903 16.36829026 16.28131213 16.10735586
 16.0390159  14.87723658 14.97042744 16.07629225 17.29398608 16.8528827
 17.16973161 13.08175944 13.28677932 15.85263419 14.93936382 13.90805169
 16.11978131 15.70352883 18.375      16.95228628 16.2750994  15.97067594
 16.49254473 16.34343936 15.26242545 15.29970179 14.85238569 12.19333996
 14.3305169  14.31809145 16.16327038 15.37425447 16.96471173 14.25596421
 14.90208748 17.06411531 15.6165507  15.40531809 16.0638668  16.01416501
 15.05740557 15.75944334 13.39860835 14.77162028 15.21893638 15.44259443
 16.30616302 15.80293241 15.31833996 14.98285288 14.48583499 16.00173956
 16.52360835 17.53006958 14.15656064 16.83424453 14.75919483 14.5417495
 15.51093439 14.41749503 15.67867793 13.72166998 16.44284294 16.0390159
 16.33101392 16.44284294 15.27485089 15.79050696 15.92097416 15.08225646
 14.23111332 15.34319085 15.49229622 17.09517893 16.47390656 15.98310139
 15.34319085 17.59219682 15.99552684 15.44259443 15.28106362 15.77808151
 16.4055666  15.28727634]",22928.184839502937
